STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-01,8.28,1849,1859,0.16,0,1,,56,42,,270,260,,,23.9,32,1,,,,,,,,,,,1,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-02,13.87,1219,313,0,0.6,0,,42,23,,250,260,,,23,32,1,,,,,,,,,1,,1,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-03,8.5,426,25,0,0,0,,31,22,,270,260,,,19.9,28,,,,,,,,,,,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-04,8.5,1053,1053,0.02,0.4,0,,37,27,,240,240,,,21,25.9,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-05,10.74,1522,1521,0.04,1,1,,31,17,,250,250,,,19.9,23,1,,,,,,,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-06,6.93,2014,1402,0.04,0.5,1,,27,13,,150,200,,,10.1,15,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-07,6.26,2009,1949,0.01,0.2,1,,27,15,,260,260,,,16.1,21.9,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-08,4.03,1519,1511,0.05,2.9,4,,27,16,,350,350,,,13,16.1,,1,,,,,1,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-09,12.75,1237,1236,0.03,1.1,4,,25,19,,300,290,,,25.1,30,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-10,8.95,1144,1042,0,0,3,,25,16,,300,300,,,17.9,25.1,,,,,,,,,,,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-11,6.71,1942,1942,0.16,2,2,,25,19,,70,80,,,16.1,19.9,1,,,,,,,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-12,10.29,619,618,0.44,7.9,6,,22,19,,360,360,,,21.9,25.9,,1,,,,,,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-13,8.28,1116,1157,0.03,1.3,10,,20,8,,300,310,,,17,21.9,1,,,,,,1,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-14,4.7,1553,1442,0.01,0.8,9,,26,10,,270,260,,,8.9,12.1,1,,,,,,1,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-15,11.63,1545,1855,0.06,1.1,8,,30,17,,270,270,,,23,31.1,1,,,,,,1,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-16,11.63,1432,1431,0.06,1.4,8,,25,11,,290,280,,,23,28,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-17,6.04,1506,1647,0,0.1,6,,26,-7,,130,190,,,16.1,23,1,,,,,,1,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-18,7.61,847,746,0.1,0,6,,43,25,,190,200,,,17.9,36,1,,,1,,,,,,1,,1,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-19,7.83,246,317,0.06,1,4,,33,23,,20,40,,,21.9,25.1,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-20,7.83,140,140,0.07,0.7,4,,23,11,,270,270,,,19.9,23.9,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-21,14.54,1611,1234,0.07,0.9,5,,21,11,,260,250,,,30,38.9,1,,,,,,,1,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-22,8.28,5,27,0.02,0.3,5,,17,8,,270,270,,,19.9,23,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-23,8.95,425,402,0.1,3.9,6,,15,-8,,10,20,,,21,25.1,,1,,,,,,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-24,6.26,1455,1628,0.03,0.6,6,,19,-8,,110,110,,,13,16.1,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-25,7.83,1213,1326,0.03,0.3,6,,34,19,,260,270,,,17.9,23,1,,,,,1,1,,,1,1,1,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-26,4.92,1645,1645,0,0.3,5,,33,27,,20,30,,,13,16.1,1,,,,,,1,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-27,7.83,1312,1307,0.02,1.2,6,,32,25,,260,250,,,17,21.9,1,,,,,,,,,1,,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-28,6.71,1706,1702,0,0.2,6,,30,24,,260,270,,,16.1,23,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-29,4.7,109,108,0.02,0.2,6,,27,21,,250,250,,,12.1,15,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-01-30,8.5,2056,2053,0,0.6,6,,27,15,,320,320,,,17.9,23,1,,,,,,1,,,1,,,,1,,,
