X,Y,OBJECTID,Address,Notes,Type,Program,POINT_X,POINT_Y
-77.598631369001225,43.177786001003021,1,704 Hudson Ave,RFD,Video,BlueLight,-77.598631369,43.1777860010001
-77.612384473001214,43.17095540200301,2,100 Borinquen Plaza,,Video,BlueLight,-77.612384473,43.1709554020001
-77.612691574001218,43.173391802002982,3,N Clinton Ave and Scrantom St,,Video,BlueLight,-77.6126915739999,43.173391802
-77.603065072001186,43.180726701002989,4,Ave D and Bauman St,,Video,BlueLight,-77.6030650719999,43.180726701
-77.595410070001222,43.182105602002977,5,North St and Durnan St,,Video,BlueLight,-77.59541007,43.182105602
-77.566381858001193,43.165813405003014,6,Parsells Ave and Greely St,,Video,BlueLight,-77.5663818579999,43.1658134050001
-77.58681356600124,43.181732000003009,7,Portland Ave and Roycroft Dr,,Video,BlueLight,-77.586813566,43.1817320000001
-77.588551667001198,43.175591402003022,8,Clifford Ave and Miller St,,Video,BlueLight,-77.5885516669999,43.1755914020001
-77.607937973001199,43.178898401002989,9,Joseph Ave and Seabrooke St,,Video,BlueLight,-77.6079379729999,43.178898401
-77.598992169001249,43.177232401002989,10,Hudson Ave and Bernard St,,Video,BlueLight,-77.598992169,43.177232401
-77.592352525001232,43.145934527003007,11,Monroe Ave and Goodman St,,Video,BlueLight,-77.592352525,43.1459345270001
-77.596319369001222,43.163401204003037,12,Woodward St and Scio St,,Video,BlueLight,-77.596319369,43.1634012040001
-77.588079565001252,43.166280903002971,13,Pennsylvania Ave and 1st St,,Video,BlueLight,-77.588079565,43.166280903
-77.580930163001213,43.167179903002989,14,N. Goodman Ave and Short St,,Video,BlueLight,-77.5809301629999,43.167179903
-77.613261574001243,43.176515600003,15,N. Clinton Ave and Flower St,,Video,BlueLight,-77.613261574,43.1765156000001
-77.610392874001221,43.175983500002985,16,Remington St and DeJonge St,,Video,BlueLight,-77.610392874,43.1759835
-77.610602773001247,43.178599701002994,17,Remington St and Ketchum St,,Video,BlueLight,-77.610602773,43.1785997010001
-77.557794756001215,43.160106505003014,18,E. Main St and Wisconsin St,,Video,BlueLight,-77.557794756,43.160106505
-77.577833563001221,43.166505003003024,19,Webster Ave and Melville St,,Video,BlueLight,-77.577833563,43.1665050030001
-77.599022970001229,43.158947304002986,20,Main St and Scio St,,Video,BlueLight,-77.59902297,43.158947304
-77.599529970001186,43.173595203003011,21,510 Hudson Ave,,Video,BlueLight,-77.5995299699999,43.173595203
-77.613665174001213,43.185178100002979,22,1415 N Clinton Ave,Redwing Plaza,Video,BlueLight,-77.6136651739999,43.1851781
-77.605484408001203,43.146066894003013,23,South Ave and Alexander St,,Video,BlueLight,-77.6054844079999,43.1460668940001
-77.619874477001204,43.180366799003018,24,Ave D and Conkey Ave,,Video,BlueLight,-77.6198744769999,43.1803667990001
-77.594622867001206,43.147035506003022,25,Monroe Ave and Meigs St,,Video,BlueLight,-77.5946228669999,43.1470355060001
-77.586004865001229,43.162971705003017,27,55 Railroad St,,Video,BlueLight,-77.586004865,43.1629717050001
-77.548039027001224,43.15881767800299,28,Winton St and E Main St,,Video,BlueLight,-77.548039027,43.158817678
-77.625035078001204,43.181084600003025,29,1 Driving Park Ave,Driving Park Bridge,Video,BlueLight,-77.6250350779999,43.1810846000001
-77.590937531001202,43.165904230003015,30,N Union St and Pennsylvania Ave,,Video,BlueLight,-77.590937531,43.1659042300001
-77.55514075300124,43.145546208002983,31,Winton Rd and East Ave,,Video,BlueLight,-77.555140753,43.145546208
-77.553189354001248,43.149612708003026,32,Winton Rd and Blossom Rd,,Video,BlueLight,-77.553189354,43.1496127080001
-77.616797975001205,43.16719550200299,33,1 Bausch St,Bausch St Bridge,Video,BlueLight,-77.6167979749999,43.167195502
-77.610954775001247,43.181834700002995,34,Remington St and Kohlman St,,Video,BlueLight,-77.610954775,43.1818347
-77.5777597600012,43.148257607003003,35,Park Ave and Berkely St,,Video,BlueLight,-77.5777597599999,43.1482576070001
-77.599478970001201,43.184409500003014,36,Hudson Ave and Sobieski St,,Video,BlueLight,-77.59947897,43.1844095000001
-77.590996468001222,43.175616801002995,37,Portland Ave and Clifford Ave,,Video,BlueLight,-77.590996468,43.175616801
-77.589924964001241,43.150532406002966,38,Park Ave and S Goodman St,,Video,BlueLight,-77.589924964,43.150532406
-77.622493677001231,43.186486499003038,39,St Paul St and Norton St,,Video,BlueLight,-77.622493677,43.1864864990001
-77.59975917100121,43.187120300003016,40,Hudson Ave and Norton St,,Video,BlueLight,-77.599759171,43.1871203000001
-77.582460363001204,43.163878503002969,41,Goodman St and Garson Ave,,Video,BlueLight,-77.5824603629999,43.163878503
-77.592475766001229,43.151188906003036,42,Park Ave and Meigs St,,Video,BlueLight,-77.592475766,43.1511889060001
-77.603369572001213,43.169377702003047,43,Holland St and Baden Pk,,Video,BlueLight,-77.603369572,43.1693777020001
-77.597618869001224,43.165607003002982,44,Davis St and Lewis St,,Video,BlueLight,-77.597618869,43.165607003
-77.60826057400125,43.186691799003022,45,Joseph Ave and Norton St,,Video,BlueLight,-77.608260574,43.1866917990001
-77.61379797400123,43.180419601002988,46,Clinton Ave and Ave D,,Video,BlueLight,-77.613797974,43.180419601
-77.569623261001212,43.165923905003012,47,Parsells St and Denver St,,Video,BlueLight,-77.5696232609999,43.1659239050001
-77.619504376001203,43.174857900003012,48,Conkey Ave and Clifford Ave,,Video,BlueLight,-77.619504376,43.1748579000001
-77.623820079001248,43.185570199003003,49,1500 St. Paul St,,Video,BlueLight,-77.623820079,43.185570199
-77.602761969001236,43.159879504003015,50,Chestnut St and Pleasant St,,Video,BlueLight,-77.602761969,43.1598795040001
