X,Y,ObjectID,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band
-77.585467212999959,43.162928119000071,1,b495a5eb9b56d2052eeab6a5e52ecf75,16-295732,"18 FOURTH ST, ROCHESTER, NY, 14609",2016-11-19T01:00:00.000Z,11,2016,SHOOTING,NO,MALE,BLACK,NON HISPANIC,22,15-24
-77.629117995999934,43.14322642500008,2,424f1e5dca93ada794bba3499d214abb,16-290863,"581 JEFFERSON AVE, ROCHESTER, NY, 14611",2016-11-13T01:00:00.000Z,11,2016,HOMICIDE,YES,MALE,BLACK,NON HISPANIC,32,25-44
-77.629117995999934,43.14322642500008,3,fb552242be5e23f6b7c95b7ed7f4d98a,16-290863,"581 JEFFERSON AVE, ROCHESTER, NY, 14611",2016-11-13T01:00:00.000Z,11,2016,SHOOTING,YES,MALE,BLACK,NON HISPANIC,45,45-OLDER
-77.596957405999945,43.185086081000065,4,9066f3877cebf83ad87f3a5fc6cb5e5c,16-288632,"85 KOSCIUSKO ST, ROCHESTER, NY, 14621",2016-11-09T12:00:00.000Z,11,2016,SHOOTING,NO,MALE,BLACK,NON HISPANIC,34,25-44
-77.647312631999966,43.139792572000033,5,24e4944d3c42553f5c05ea272cc68477,16-282715,"398 ABERDEEN ST, ROCHESTER, NY, 14619",2016-11-02T22:00:00.000Z,10,2016,SHOOTING,NO,MALE,WHITE,HISPANIC,22,15-24
-77.652501928999982,43.159524081000029,6,548cdf72e3c99613155874b5c236a738,16-279346,"1160 JAY ST, ROCHESTER, NY, 14606",2016-10-30T22:00:00.000Z,10,2016,SHOOTING,NO,MALE,BLACK,NON HISPANIC,34,25-44
-77.609282405999977,43.181070528000078,7,1d75f0e84e828904ba8fe7e47e11b1f2,16-279260,"55 PARDEE ST, ROCHESTER, NY, 14621",2016-10-29T22:00:00.000Z,10,2016,SHOOTING,YES,FEMALE,BLACK,NON HISPANIC,24,15-24
-77.609282405999977,43.181070528000078,8,7a543cc1b7834272fe68ceb7dc0750dc,16-279260,"55 PARDEE ST, ROCHESTER, NY, 14621",2016-10-29T22:00:00.000Z,10,2016,SHOOTING,YES,MALE,BLACK,NON HISPANIC,26,25-44
-77.637756610999986,43.15088207000008,9,142f787d4ee5408af08ddcbbeab40b66,16-277470,"37 YORK ST, ROCHESTER, NY, 14611",2016-10-27T22:00:00.000Z,10,2016,SHOOTING,NO,MALE,BLACK,NON HISPANIC,48,45-OLDER
-77.628818957999954,43.143233941000062,10,39977c9cf5b7d66bb836b9c84acfdf5e,16-276632,"584 JEFFERSON AVE, ROCHESTER, NY, 14608",2016-10-26T22:00:00.000Z,10,2016,SHOOTING,NO,MALE,BLACK,NON HISPANIC,30,25-44
-77.571055237999985,43.171096116000058,11,23094d501389b1c6708d020768129934,16-275588,"833 BAY ST, ROCHESTER, NY, 14609",2016-10-25T22:00:00.000Z,10,2016,SHOOTING,NO,MALE,BLACK,NON HISPANIC,15,15-24
